value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,emotion
521,468,520,520,573,572,572,573,572,624,624,573,572,624,575,572,572,520,573.0,520.0,,,,,平静
573,572,624,624,573,572,624,575,572,572,520,573,520,520,625,520,572,572,521.0,,,,,,平静
624,575,572,572,520,573,520,520,625,520,572,572,521,572,624,520,573,572,572.0,625.0,,,,,平静
520,520,625,520,572,572,521,572,624,520,573,572,572,625,572,572,572,624,572.0,,,,,,平静
572,624,520,573,572,572,625,572,572,572,624,572,624,573,572,572,572,624,572.0,,,,,,平静
625,572,572,572,624,572,624,573,572,572,572,624,572,572,521,520,520,520,521.0,520.0,,,,,平静
624,573,572,572,572,624,572,572,521,520,520,520,521,520,520,468,521,571,520.0,468.0,,,,,平静
572,572,521,520,520,520,521,520,520,468,521,571,520,468,521,572,572,625,572.0,571.0,,,,,平静
520,520,572,573,572,571,624,573,624,572,573,572,572,520,625,520,572,625,572.0,,,,,,平静
573,624,572,573,572,572,520,625,520,572,625,572,624,572,521,624,572,554,572.0,,,,,,平静
520,625,520,572,625,572,624,572,521,624,572,554,572,520,572,625,520,572,573.0,,,,,,平静
624,572,521,624,572,554,572,520,572,625,520,572,573,624,676,572,573,572,572.0,,,,,,平静
572,573,572,572,573,572,520,572,521,520,572,572,573,520,520,625,520,520,520.0,521.0,,,,,平静
521,520,572,572,573,520,520,625,520,520,520,521,520,572,520,575,520,572,573.0,624.0,,,,,平静
625,520,520,520,521,520,572,520,575,520,572,573,624,572,520,574,572,572,572.0,521.0,,,,,平静
521,572,520,520,521,572,518,572,573,624,676,573,624,624,625,624,624,625,572.0,,,,,,平静
572,573,624,676,573,624,624,625,624,624,625,572,571,626,573,571,571,520,,,,,,,平静
624,625,624,624,625,572,571,626,573,571,571,520,625,520,572,572,520,624,571.0,,,,,,平静
571,626,573,571,571,520,625,520,572,572,520,624,571,522,571,569,624,572,570.0,,,,,,平静
625,520,572,572,520,624,571,522,571,569,624,572,570,570,570,621,571,521,572.0,,,,,,平静
571,522,571,569,624,572,570,570,570,621,571,521,572,572,624,520,572,520,573.0,,,,,,平静
624,565,568,620,620,568,567,619,568,569,569,620,513,566,518,618,516,570,519.0,,,,,,平静
567,619,568,569,569,620,513,566,518,618,516,570,519,621,570,572,571,570,572.0,519.0,,,,,平静
513,566,518,618,516,570,519,621,570,572,571,570,572,519,570,575,621,517,569.0,519.0,,,,,平静
621,570,572,571,570,572,519,570,575,621,517,569,519,571,620,623,570,568,620.0,,,,,,平静
519,570,575,621,517,569,519,571,620,623,570,568,620,569,568,570,622,572,520.0,,,,,,平静
571,620,623,570,568,620,569,568,570,622,572,520,572,573,619,623,571,597,572.0,,,,,,平静
569,568,570,622,572,520,572,573,619,623,571,597,572,620,624,569,570,519,572.0,,,,,,平静
572,573,619,623,571,597,572,620,624,569,570,519,572,624,572,573,572,572,624.0,,,,,,平静
572,620,624,569,570,519,572,624,572,573,572,572,624,621,623,572,572,622,571.0,,,,,,平静
572,624,572,573,572,572,624,621,623,572,572,622,571,623,571,624,572,572,622.0,,,,,,平静
622,569,572,674,571,519,570,623,624,623,572,571,666,565,618,620,571,622,571.0,,,,,,平静
622,571,623,571,624,572,572,622,571,674,571,571,570,572,624,624,625,572,,,,,,,平静
572,622,571,674,571,571,570,572,624,624,625,572,624,677,624,623,565,674,,,,,,,平静
570,572,624,624,625,572,624,677,624,623,565,674,619,570,520,622,624,573,,,,,,,平静
624,677,624,623,565,674,619,570,520,622,624,573,623,571,674,572,622,571,,,,,,,平静
619,570,520,622,624,573,623,571,674,572,622,571,673,570,571,572,623,624,,,,,,,平静
623,571,674,572,622,571,673,570,571,572,623,624,624,573,624,571,676,623,,,,,,,平静
673,570,571,572,623,624,624,573,624,571,676,623,620,621,672,569,622,574,,,,,,,平静
624,573,624,571,676,623,620,621,672,569,622,574,572,622,571,520,572,520,,,,,,,平静
620,621,672,569,622,574,572,622,571,520,572,520,625,572,572,573,571,612,612.0,,,,,,平静
572,622,571,520,572,520,625,572,572,573,571,612,612,667,562,562,616,565,566.0,,,,,,平静
570,623,624,623,572,571,666,565,618,620,571,622,571,573,620,572,569,572,571.0,,,,,,平静
572,572,573,571,612,612,667,562,562,616,565,566,670,564,565,613,614,613,614.0,,,,,,平静
667,562,562,616,565,566,670,564,565,613,614,613,614,566,665,562,562,617,565.0,,,,,,平静
670,564,565,613,614,613,614,566,665,562,562,617,565,563,666,515,562,615,567.0,,,,,,平静
614,566,665,562,562,617,565,563,666,515,562,615,567,565,615,571,567,619,566.0,,,,,,平静
565,563,666,515,562,615,567,565,615,571,567,619,566,569,518,616,570,518,567.0,,,,,,平静
567,565,615,571,567,619,566,569,518,616,570,518,567,616,517,569,569,621,615.0,,,,,,平静
566,569,518,616,570,518,567,616,517,569,569,621,615,614,567,568,620,621,571.0,,,,,,平静
616,517,569,569,621,615,614,567,568,620,621,571,571,563,594,514,615,567,570.0,,,,,,平静
567,568,620,621,571,571,563,594,514,615,567,570,619,569,622,620,623,624,573.0,,,,,,平静
563,594,514,615,567,570,619,569,622,620,623,624,573,564,621,571,569,566,615.0,,,,,,平静
666,565,618,620,571,622,571,573,620,572,569,572,571,624,624,622,571,623,519.0,,,,,,平静
619,569,622,620,623,624,573,564,621,571,569,566,615,568,512,617,566,568,617.0,,,,,,平静
573,564,621,571,569,566,615,568,512,617,566,568,617,569,620,566,622,572,571.0,,,,,,平静
512,617,566,568,617,569,620,566,622,572,571,570,574,675,572,562,619,566,621.0,,,,,,平静
574,675,572,562,619,566,621,572,618,567,572,622,618,569,516,617,567,570,624.0,,,,,,平静
621,572,618,567,572,622,618,569,516,617,567,570,624,571,623,624,571,572,572.0,,,,,,平静
618,569,516,617,567,570,624,571,623,624,571,572,572,622,572,520,573,569,569.0,,,,,,平静
624,571,623,624,571,572,572,622,572,520,573,569,569,573,572,576,520,573,617.0,,,,,,平静
572,622,572,520,573,569,569,573,572,576,520,573,617,568,564,619,565,516,623.0,,,,,,平静
569,573,572,576,520,573,617,568,564,619,565,516,623,568,572,518,573,621,570.0,,,,,,平静
568,564,619,565,516,623,568,572,518,573,621,570,571,569,620,569,572,572,571.0,,,,,,平静
571,573,620,572,569,572,571,624,624,622,571,623,519,572,572,620,618,518,570.0,,,,,,平静
568,572,518,573,621,570,571,569,620,569,572,572,571,617,569,567,621,568,515.0,,,,,,平静
571,569,620,569,572,572,571,617,569,567,621,568,515,624,570,569,569,570,570.0,,,,,,平静
571,617,569,567,621,568,515,624,570,569,569,570,570,623,569,569,568,620,517.0,,,,,,平静
515,624,570,569,569,570,570,623,569,569,568,620,517,571,571,624,572,571,572.0,,,,,,平静
520,573,624,572,618,562,569,619,569,567,621,620,565,566,570,621,571,570,569.0,,,,,,平静
571,570,569,675,571,647,569,569,568,624,568,569,572,624,572,571,569,519,673.0,,,,,,平静
572,624,572,571,569,519,673,571,572,571,573,621,619,567,621,569,621,567,622.0,,,,,,平静
673,571,572,571,573,621,619,567,621,569,621,567,622,570,569,570,569,672,623.0,,,,,,平静
619,567,621,569,621,567,622,570,569,570,569,672,623,571,623,675,623,623,,,,,,,平静
622,570,569,570,569,672,623,571,623,675,623,623,567,615,568,569,572,673,,,,,,,平静
571,624,624,622,571,623,519,572,572,620,618,518,570,569,673,621,570,620,621.0,,,,,,平静
623,571,623,675,623,623,567,615,568,569,572,673,571,625,572,676,624,573,,,,,,,平静
567,615,568,569,572,673,571,625,572,676,624,573,624,571,677,570,571,572,,,,,,,平静
571,625,572,676,624,573,624,571,677,570,571,572,572,571,520,572,520,572,572.0,,,,,,平静
571,572,572,571,520,572,520,572,572,625,572,571,571,571,572,520,573,571,621.0,,,,,,平静
572,520,520,523,519,621,571,520,572,564,564,567,616,516,570,570,570,624,570.0,572.0,,,,,平静
520,572,564,564,567,616,516,570,570,570,624,570,572,571,625,623,567,621,570.0,,,,,,平静
570,570,570,624,570,572,571,625,623,567,621,570,623,572,624,569,674,621,,,,,,,平静
571,625,623,567,621,570,623,572,624,569,674,621,624,624,573,676,624,573,,,,,,,平静
623,572,624,569,674,621,624,624,573,676,624,573,624,623,571,571,624,571,,,,,,,平静
624,624,573,676,624,573,624,623,571,571,624,571,677,572,571,625,572,624,,,,,,,平静
519,572,572,620,618,518,570,569,673,621,570,620,621,571,569,518,620,514,565.0,,,,,,平静
572,571,625,572,624,571,573,572,571,546,569,619,568,572,571,624,573,576,572.0,,,,,,平静
573,572,571,546,569,619,568,572,571,624,573,576,572,624,573,622,570,623,571.0,,,,,,平静
624,573,576,572,624,573,622,570,623,571,674,571,573,571,567,621,570,568,668.0,,,,,,平静
622,570,623,571,674,571,573,571,567,621,570,568,668,564,617,667,620,673,,,,,,,平静
573,571,567,621,570,568,668,564,617,667,620,673,675,625,572,623,573,622,,,,,,,平静
668,564,617,667,620,673,675,625,572,623,573,622,570,567,569,617,617,569,,,,,,,平静
675,625,572,623,573,622,570,567,569,617,617,569,620,621,572,622,623,571,,,,,,,平静
570,567,569,617,617,569,620,621,572,622,623,571,572,571,570,621,515,565,615.0,,,,,,平静
620,621,572,622,623,571,572,571,570,621,515,565,615,565,562,613,564,616,669.0,,,,,,平静
572,571,570,621,515,565,615,565,562,613,564,616,669,566,614,563,567,621,620.0,,,,,,平静
570,569,673,621,570,620,621,571,569,518,620,514,565,514,621,568,571,624,624.0,,,,,,平静
615,565,562,613,564,616,669,566,614,563,567,621,620,566,569,621,621,567,570.0,,,,,,平静
566,614,563,567,621,620,566,569,621,621,567,570,565,566,620,616,566,568,620.0,,,,,,平静
566,569,621,621,567,570,565,566,620,616,566,568,620,622,570,572,569,620,567.0,,,,,,平静
565,566,620,616,566,568,620,622,570,572,569,620,567,566,618,565,619,615,617.0,,,,,,平静
620,622,570,572,569,620,567,566,618,565,619,615,617,621,618,619,567,671,,,,,,,平静
572,623,574,621,676,621,614,618,622,569,567,620,625,572,519,514,621,569,571.0,,,,,,平静
614,618,622,569,567,620,625,572,519,514,621,569,571,520,624,572,568,565,564.0,,,,,,平静
625,572,519,514,621,569,571,520,624,572,568,565,564,513,571,618,512,569,519.0,565.0,,,,,平静
571,520,624,572,568,565,564,513,571,618,512,569,519,565,515,569,516,518,519.0,542.0,,,,,平静
564,513,571,618,512,569,519,565,515,569,516,518,519,542,468,517,518,468,572.0,468.0,520.0,,,,平静
621,571,569,518,620,514,565,514,621,568,571,624,624,565,568,620,620,568,567.0,,,,,,平静
565,515,569,516,518,519,542,468,517,518,468,572,468,520,523,519,571,571,573.0,572.0,572.0,,,,平静
520,573,520,572,572,572,572,520,573,623,572,572,573,520,624,573,572,520,572.0,570.0,,,,,平静
520,573,623,572,572,573,520,624,573,572,520,572,570,624,520,573,571,572,624.0,,,,,,平静
520,624,573,572,520,572,570,624,520,573,571,572,624,573,572,572,573,624,572.0,,,,,,平静
624,520,573,571,572,624,573,572,572,573,624,572,520,573,520,624,520,521,572.0,,,,,,平静
573,572,572,573,624,572,520,573,520,624,520,521,572,572,573,623,572,572,573.0,,,,,,平静
520,573,520,624,520,521,572,572,573,623,572,572,573,572,572,572,520,520,519.0,573.0,,,,,平静
572,573,623,572,572,573,572,572,572,520,520,519,573,572,572,572,521,572,624.0,521.0,,,,,平静
572,572,572,520,520,519,573,572,572,572,521,572,624,521,572,520,520,521,572.0,518.0,,,,,平静
572,572,572,521,572,624,521,572,520,520,521,572,518,572,573,624,676,573,624.0,,,,,,平静
565,514,621,568,571,624,624,565,568,620,620,568,567,619,568,569,569,620,513.0,,,,,,平静
572,573,572,572,624,521,572,572,520,573,624,572,573,572,572,572,573,624,572.0,,,,,,平静
572,572,573,624,572,573,572,676,573,572,624,572,625,572,624,625,623,676,,,,,,,平静
572,676,573,572,624,572,625,572,624,625,623,676,625,624,624,675,625,624,,,,,,,平静
625,572,624,625,623,676,625,624,624,675,625,624,624,573,675,572,625,624,,,,,,,平静
625,624,624,675,625,624,624,573,675,572,625,624,624,677,572,624,572,575,,,,,,,平静
624,573,675,572,625,624,624,677,572,624,572,575,675,572,573,572,624,625,,,,,,,平静
624,677,572,624,572,575,675,572,573,572,624,625,572,624,572,573,624,572,,,,,,,平静
572,573,572,624,625,572,624,572,573,624,572,573,520,572,624,573,572,571,573.0,,,,,,平静
573,520,572,624,573,572,571,573,675,572,570,572,571,624,573,624,572,572,677.0,,,,,,平静
571,573,675,572,570,572,571,624,573,624,572,572,677,572,624,573,572,676,,,,,,,平静
625,624,624,570,573,624,624,573,572,572,572,573,624,572,572,572,572,625,572.0,,,,,,平静
571,624,573,624,572,572,677,572,624,573,572,676,624,572,572,624,625,572,,,,,,,平静
677,572,624,573,572,676,624,572,572,624,625,572,572,573,624,572,624,577,,,,,,,平静
624,572,572,624,625,572,572,573,624,572,624,577,624,624,573,624,572,573,572.0,,,,,,平静
572,573,624,572,624,577,624,624,573,624,572,573,572,624,572,573,572,597,625.0,,,,,,平静
625,572,624,624,677,572,572,573,572,624,573,520,572,572,625,572,572,625,572.0,,,,,,平静
572,573,572,624,573,520,572,572,625,572,572,625,572,676,572,573,572,572,677.0,,,,,,平静
572,572,625,572,572,625,572,676,572,573,572,572,677,572,624,572,575,676,,,,,,,平静
572,676,572,573,572,572,677,572,624,572,575,676,624,625,624,624,677,624,,,,,,,平静
677,572,624,572,575,676,624,625,624,624,677,624,624,625,624,624,624,625,,,,,,,平静
677,624,624,625,624,624,624,625,624,624,625,624,624,573,624,624,574,572,,,,,,,平静
624,573,572,572,572,573,624,572,572,572,572,625,572,572,624,573,624,572,523.0,,,,,,平静
624,625,624,624,625,624,624,573,624,624,574,572,624,572,677,572,572,573,,,,,,,平静
624,573,624,624,574,572,624,572,677,572,572,573,624,624,572,625,572,624,,,,,,,平静
624,572,677,572,572,573,624,624,572,625,572,624,573,624,624,625,572,572,,,,,,,平静
624,624,572,625,572,624,573,624,624,625,572,572,624,573,624,572,573,624,,,,,,,平静
573,624,624,625,572,572,624,573,624,572,573,624,572,624,625,572,624,573,572.0,,,,,,平静
624,573,624,572,573,624,572,624,625,572,624,573,572,624,521,676,572,624,573.0,,,,,,平静
572,624,625,572,624,573,572,624,521,676,572,624,573,572,572,625,624,572,572.0,,,,,,平静
572,624,521,676,572,624,573,572,572,625,624,572,572,625,624,624,521,572,572.0,,,,,,平静
573,572,572,625,624,572,572,625,624,624,521,572,572,625,572,572,572,573,572.0,,,,,,平静
572,625,624,624,521,572,572,625,572,572,572,573,572,624,573,572,572,624,625.0,,,,,,平静
624,572,572,572,572,625,572,572,624,573,624,572,523,572,572,624,573,572,572.0,,,,,,平静
572,625,572,572,572,573,572,624,573,572,572,624,625,520,572,575,572,624,572.0,,,,,,平静
573,572,572,624,625,520,572,575,572,624,572,573,572,572,573,676,624,572,651.0,,,,,,平静
572,575,572,624,572,573,572,572,573,676,624,572,651,624,572,625,676,572,,,,,,,平静
572,572,573,676,624,572,651,624,572,625,676,572,625,572,624,624,573,624,,,,,,,平静
651,624,572,625,676,572,625,572,624,624,573,624,572,573,676,572,625,572,,,,,,,平静
625,572,624,624,573,624,572,573,676,572,625,572,572,572,677,572,572,573,572.0,,,,,,平静
572,573,676,572,625,572,572,572,677,572,572,573,572,676,572,573,572,624,625.0,,,,,,平静
572,572,677,572,572,573,572,676,572,573,572,624,625,624,572,626,572,624,,,,,,,平静
572,573,572,624,625,624,572,626,572,624,624,573,572,572,625,572,572,572,573.0,,,,,,平静
572,626,572,624,624,573,572,572,625,572,572,572,573,572,624,573,572,572,572.0,,,,,,平静
572,572,624,573,624,572,523,572,572,624,573,572,572,625,572,624,572,573,569.0,,,,,,平静
573,624,624,572,677,572,624,625,572,676,577,624,624,625,624,676,624,625,,,,,,,平静
625,572,624,627,676,572,625,572,624,624,573,624,572,625,572,624,625,572,,,,,,,平静
625,572,624,624,573,624,572,625,572,624,625,572,572,624,625,520,572,573,572.0,,,,,,平静
572,625,572,624,625,572,572,624,625,520,572,573,572,624,624,573,624,572,625.0,,,,,,平静
572,624,625,520,572,573,572,624,624,573,624,572,625,624,572,572,521,624,624.0,,,,,,平静
572,624,624,573,624,572,625,624,572,572,521,624,624,573,572,624,625,624,572.0,,,,,,平静
625,624,572,572,521,624,624,573,572,624,625,624,572,572,573,572,624,625,572.0,,,,,,平静
624,572,572,573,572,624,625,572,572,572,677,624,572,599,624,572,625,624,520.0,,,,,,平静
625,572,572,572,677,624,572,599,624,572,625,624,520,572,625,572,676,574,,,,,,,平静
572,599,624,572,625,624,520,572,625,572,676,574,624,572,572,573,624,624,573.0,,,,,,平静
523,572,572,624,573,572,572,625,572,624,572,573,569,623,520,572,571,571,625.0,,,,,,平静
520,572,625,572,676,574,624,572,572,573,624,624,573,624,624,677,624,624,,,,,,,平静
624,572,572,573,624,624,573,624,624,677,624,624,677,624,676,572,625,572,,,,,,,平静
573,624,624,677,624,624,677,624,676,572,625,572,572,625,572,572,572,625,,,,,,,平静
677,624,676,572,625,572,572,625,572,572,572,625,624,572,627,572,676,625,,,,,,,平静
572,625,572,572,572,625,624,572,627,572,676,625,624,572,625,572,624,624,,,,,,,平静
624,572,627,572,676,625,624,572,625,572,624,624,573,624,624,677,572,624,,,,,,,平静
624,572,625,572,624,624,573,624,624,677,572,624,573,624,624,624,573,624,,,,,,,平静
573,624,624,677,572,624,573,624,624,624,573,624,624,625,624,624,625,572,,,,,,,平静
573,624,624,624,573,624,624,625,624,624,625,572,624,624,573,572,572,625,,,,,,,平静
624,625,624,624,625,572,624,624,573,572,572,625,572,572,572,573,676,624,,,,,,,平静
572,625,572,624,572,573,569,623,520,572,571,571,625,520,544,625,572,571,572.0,,,,,,平静
624,624,573,572,572,625,572,572,572,573,676,624,625,624,624,625,624,572,,,,,,,平静
572,572,572,573,676,624,625,624,624,625,624,572,572,573,624,572,625,572,,,,,,,平静
625,624,624,625,624,572,572,573,624,572,625,572,572,625,676,624,624,573,,,,,,,平静
572,573,624,572,625,572,572,625,676,624,624,573,676,624,625,572,624,677,,,,,,,平静
572,625,676,624,624,573,676,624,625,572,624,677,624,676,573,624,728,625,,,,,,,平静
676,624,625,572,624,677,624,676,573,624,728,625,624,624,572,625,572,572,,,,,,,平静
624,676,573,624,728,625,624,624,572,625,572,572,573,624,676,678,572,572,,,,,,,平静
624,624,572,625,572,572,573,624,676,678,572,572,624,573,572,572,523,572,520.0,,,,,,平静
573,624,676,678,572,572,624,573,572,572,523,572,520,624,521,572,572,649,,,,,,,平静
573,572,572,572,521,624,520,520,573,520,520,573,520,468,520,521,520,572,572.0,521.0,,,,,平静
569,623,520,572,571,571,625,520,544,625,572,571,572,573,623,572,573,572,572.0,,,,,,平静
520,520,573,520,520,573,520,468,520,521,520,572,572,521,520,572,572,573,520.0,520.0,521.0,,,,平静
468,520,521,520,572,572,521,520,572,572,573,520,520,521,520,572,520,469,520.0,572.0,572.0,,,,平静
520,572,572,573,520,520,521,520,572,520,469,520,572,572,573,520,572,520,521.0,520.0,572.0,,,,平静
520,572,520,469,520,572,572,573,520,572,520,521,520,572,520,469,520,520,520.0,573.0,520.0,,,,平静
573,520,572,520,521,520,572,520,469,520,520,520,573,520,572,523,520,572,572.0,573.0,520.0,,,,平静
520,469,520,520,520,573,520,572,523,520,572,572,573,520,572,520,521,572,520.0,521.0,468.0,,,,平静
572,523,520,572,572,573,520,572,520,521,572,520,521,468,520,468,574,468,520.0,520.0,521.0,,,,平静
571,416,468,365,624,572,468,521,520,468,520,521,468,468,468,469,468,468,520.0,495.0,468.0,520.0,,,平静
468,468,469,468,468,520,495,468,520,520,520,520,468,468,573,468,468,520,469.0,520.0,468.0,572.0,,,平静
520,520,520,520,468,468,573,468,468,520,469,520,468,572,469,515,464,570,519.0,468.0,520.0,519.0,,,平静
625,520,544,625,572,571,572,573,623,572,573,572,572,572,573,572,624,573,572.0,,,,,,平静
468,468,520,469,520,468,572,469,515,464,570,519,468,520,519,521,520,520,467.0,521.0,468.0,468.0,,,平静
469,520,520,519,521,624,520,572,521,572,567,515,573,520,519,523,570,519,520.0,469.0,572.0,,,,平静
572,521,572,567,515,573,520,519,523,570,519,520,469,572,520,572,521,572,520.0,520.0,573.0,,,,平静
519,523,570,519,520,469,572,520,572,521,572,520,520,573,520,468,468,521,468.0,572.0,520.0,,,,平静
520,572,521,572,520,520,573,520,468,468,521,468,572,520,521,520,520,520,573.0,520.0,520.0,,,,平静
520,468,468,521,468,572,520,521,520,520,520,573,520,520,521,520,520,572,521.0,520.0,520.0,,,,平静
572,521,520,520,572,573,676,572,573,572,572,624,573,572,572,573,624,624,624.0,,,,,,平静
572,573,623,572,573,572,572,572,573,572,624,573,572,572,572,573,572,624,573.0,,,,,,平静
520,573,572,572,519,573,572,519,520,521,520,572,573,520,572,520,573,572,572.0,520.0,,,,,悲伤
520,572,573,465,520,518,521,520,571,520,573,520,572,625,518,520,520,573,520.0,624.0,,,,,悲伤
520,571,520,573,520,572,625,518,520,520,573,520,624,520,521,520,520,520,625.0,520.0,,,,,悲伤
520,520,520,521,520,520,521,520,520,520,521,572,520,520,521,514,568,571,500.0,572.0,518.0,,,,悲伤
520,520,520,521,572,520,520,521,514,568,571,500,572,518,518,522,468,520,572.0,522.0,519.0,,,,悲伤
521,514,568,571,500,572,518,518,522,468,520,572,522,519,520,519,521,572,520.0,520.0,520.0,,,,悲伤
518,522,468,520,572,522,519,520,519,521,572,520,520,520,520,520,573,520,520.0,468.0,521.0,,,,悲伤
572,520,520,520,520,520,573,520,520,468,521,520,572,520,521,520,520,520,545.0,520.0,468.0,,,,悲伤
521,520,520,520,545,520,468,572,521,520,520,572,521,624,520,573,572,572,519.0,573.0,,,,,悲伤
572,521,520,520,572,521,624,520,573,572,572,519,573,572,519,520,521,520,572.0,573.0,,,,,悲伤
572,521,618,513,516,518,572,520,572,521,520,572,520,573,571,520,521,624,520.0,572.0,,,,,悲伤
572,523,520,520,572,553,572,572,625,572,520,572,573,572,572,573,572,520,520.0,573.0,,,,,悲伤
572,625,572,520,572,573,572,572,573,572,520,520,573,572,520,572,521,520,624.0,521.0,,,,,悲伤
572,572,573,572,520,520,573,572,520,572,521,520,624,521,572,572,520,573,572.0,520.0,,,,,悲伤
572,520,572,521,520,624,521,572,572,520,573,572,520,520,573,572,624,573,572.0,624.0,,,,,悲伤
572,572,520,573,572,520,520,573,572,624,573,572,624,572,625,572,520,521,572.0,468.0,,,,,悲伤
573,572,624,573,572,624,572,625,572,520,521,572,468,572,443,520,624,468,521.0,572.0,,,,,悲伤
468,468,520,469,520,468,520,469,468,468,468,521,468,468,468,468,469,520,468.0,468.0,523.0,468.0,468.0,,悲伤
465,518,467,469,571,515,465,516,515,464,463,519,567,466,516,468,519,520,519.0,467.0,520.0,466.0,,,悲伤
468,519,520,519,467,520,466,466,573,517,516,468,521,624,519,521,520,520,572.0,573.0,572.0,,,,悲伤
520,468,573,520,572,520,521,572,520,520,573,520,520,521,520,572,572,573,520.0,572.0,520.0,,,,悲伤
466,573,517,516,468,521,624,519,521,520,520,572,573,572,517,520,520,568,517.0,519.0,469.0,,,,悲伤
519,521,520,520,572,573,572,517,520,520,568,517,519,469,519,571,520,521,468.0,518.0,519.0,,,,悲伤
517,520,520,568,517,519,469,519,571,520,521,468,518,519,573,518,467,520,469.0,553.0,468.0,,,,悲伤
519,571,520,521,468,518,519,573,518,467,520,469,553,468,520,469,520,572,468.0,521.0,520.0,468.0,,,悲伤
573,518,467,520,469,553,468,520,469,520,572,468,521,520,468,520,522,520,468.0,520.0,521.0,520.0,,,悲伤
572,520,520,495,520,468,468,521,519,520,520,573,520,572,624,576,520,572,573.0,567.0,568.0,,,,悲伤
521,519,520,520,573,520,572,624,576,520,572,573,567,568,517,518,624,467,467.0,518.0,,,,,悲伤
521,520,520,520,521,572,520,520,521,572,520,520,469,520,468,572,470,468,520.0,520.0,469.0,520.0,,,悲伤
572,520,520,573,520,520,521,520,572,572,573,520,572,520,521,572,572,500,625.0,572.0,,,,,悲伤
520,572,572,573,520,572,520,521,572,572,500,625,572,520,573,572,597,572,521.0,572.0,,,,,悲伤
521,572,572,500,625,572,520,573,572,597,572,521,572,624,573,572,572,624,625.0,,,,,,悲伤
573,572,597,572,521,572,624,573,572,572,624,625,572,572,573,572,624,625,572.0,,,,,,悲伤
624,573,572,572,624,625,572,572,573,572,624,625,572,572,572,625,624,572,625.0,,,,,,悲伤
572,572,573,572,624,625,572,572,572,625,624,572,625,572,572,624,625,572,572.0,,,,,,悲伤
572,572,572,625,624,572,625,572,572,624,625,572,572,575,520,624,572,573,572.0,,,,,,悲伤
572,624,521,572,572,624,573,572,572,573,624,572,520,573,624,572,573,572,572.0,,,,,,悲伤
573,572,572,573,624,572,520,573,624,572,573,572,572,572,521,624,572,573,572.0,,,,,,悲伤
572,520,520,521,572,624,572,573,572,520,573,624,572,520,573,520,624,521,572.0,572.0,,,,,悲伤
520,573,624,572,573,572,572,572,521,624,572,573,572,572,572,573,572,572,573.0,,,,,,悲伤
572,572,521,624,572,573,572,572,572,573,572,572,573,572,572,572,521,572,520.0,,,,,,悲伤
